Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Parkland House Hostel,2 Delacombe Way,,WILLAURA,VIC,3379,Grampians,Residential,10,,,East Grampians Health Service,State Government,Outer Regional Australia,-37.54632915,142.7425491," $774,577 "
Willowbrae - Melton,116 Centenary Avenue,,MELTON,VIC,3337,Western Metro,Residential,60,,,Norsan Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.67505893,144.5850215," $4,199,576 "
Laurina Lodge Hostel,1 Eleanor Street,,HEYFIELD,VIC,3858,Gippsland,Residential,51,,,Heyfield Hospital Incorporated,Community Based,Inner Regional Australia,-37.97603063,146.7844543," $1,895,810 "
Yackandandah Health Residential Aged Care,20 Isaacs Avenue,,YACKANDANDAH,VIC,3749,Hume,Residential,77,,,Yackandandah Bush Nursing Hospital Inc,Religious/Charitable,Inner Regional Australia,-36.31003655,146.8454998," $3,660,501 "
Arcare Portarlington,80 Willis Street,,PORTARLINGTON,VIC,3223,Barwon-South Western,Residential,100,,,Arcare Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.11945398,144.6561309," $5,376,757 "
Hillview Bunyip Aged Care Inc,22 Abeckett Road,,BUNYIP,VIC,3815,Southern Metro,Residential,50,,,Hillview Bunyip Aged Care Inc,Community Based,Inner Regional Australia,-38.09627996,145.7250947," $2,717,193 "
Oaklea Hall Hostel,4-8 Earlstown Road,,OAKLEIGH,VIC,3166,Eastern Metro,Residential,46,,,Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.899467,145.085326," $3,269,010 "
mecwacare Rositano House,273 Church Street,,RICHMOND,VIC,3121,Northern Metro,Residential,30,,,MECWA,Community Based,Major Cities of Australia,-37.820196,144.999117," $2,323,340 "
Monda Lodge Hostel,32-36 McGregor Avenue,,HEALESVILLE,VIC,3777,Eastern Metro,Residential,30,,,Eastern Health,State Government,Inner Regional Australia,-37.6452079,145.5281981," $519,321 "
Fairway Hostel,195 Bluff Road,,SANDRINGHAM,VIC,3191,Southern Metro,Residential,65,,,Sandringham Aged Care Association Inc,Community Based,Major Cities of Australia,-37.95994084,145.0182804," $4,109,906 "
Mercy Place Templestowe,16 Herlihys Road,,TEMPLESTOWE LOWER,VIC,3107,Eastern Metro,Residential,52,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.760524,145.122145," $3,321,894 "
Green Gables Private Hostel,15 Coulstock Street,,EPPING,VIC,3076,Northern Metro,Residential,55,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.65049793,145.0314327," $3,880,924 "
Cobden District Health Services,5 Victoria Street,,COBDEN,VIC,3266,Barwon-South Western,Residential,60,,,Cobden District Health Services Inc,Community Based,Inner Regional Australia,-38.332235,143.0763," $3,537,093 "
Clarendon Grange Hostel,40 Stud Road,,WANTIRNA,VIC,3152,Eastern Metro,Residential,47,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.846116,145.246622," $3,712,867 "
Queen Elizabeth Village Hostel,"302 Gillies Street, North",,WENDOUREE,VIC,3355,Grampians,Residential,45,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.53624453,143.8230302," $3,242,140 "
Doutta Galla Grantham Green Aged Care Facility,28-32 Magnolia Street,,ST ALBANS,VIC,3021,Western Metro,Residential,44,,,Doutta Galla Aged Services Ltd,Charitable,Major Cities of Australia,-37.753083,144.820779," $2,671,689 "
Villa Maria Catholic Homes Justin Villa Aged Care Residence,2 Caravan Street,,BALWYN,VIC,3103,Eastern Metro,Residential,17,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.80538102,145.095122," $320,449 "
Arcare Cheltenham,161A Centre Dandenong Road,,CHELTENHAM,VIC,3192,Southern Metro,Residential,90,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.967784,145.075837," $6,456,047 "
Lifeview Argyle Court,81-83 Argyle Avenue,,CHELSEA,VIC,3196,Southern Metro,Residential,45,,,Chevron Corporation Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.052612,145.127942," $3,727,175 "
Chomley House Hostel,113 Chomley Street,,PRAHRAN,VIC,3181,Southern Metro,Residential,38,,,Milford Hall Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.854894,145.005869," $2,483,410 "
Japara Kingston Gardens,201 Clarke Road,,SPRINGVALE SOUTH,VIC,3172,Southern Metro,Residential,128,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.9758048,145.1453607," $5,913,289 "
Mingarra Hostel,77-115 Mount Dandenong Road,,CROYDON,VIC,3136,Eastern Metro,Residential,60,,,Aveo Retirement Homes Limited,Private Incorporated Body,Major Cities of Australia,-37.79940859,145.2704331," $4,235,034 "
BlueCross Autumdale,13 Eagland Road,,CHELTENHAM,VIC,3192,Southern Metro,Residential,45,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.971397,145.075935," $3,341,571 "
Greenwood Manor,617 Lower Dandenong Road,,DINGLEY,VIC,3172,Southern Metro,Residential,62,,,Greenwood Manor Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.98997785,145.138409," $2,136,204 "
Regis Rosebud,1 Wyuna Street,,CAPEL SOUND,VIC,3940,Southern Metro,Residential,129,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.370478,144.883027," $7,341,262 "
Alphington Aged Care,9 Old Heidelberg Road,,ALPHINGTON,VIC,3078,Northern Metro,Residential,45,,,Mali Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.77938975,145.0357802," $2,839,917 "
Sutherland Lodge,121 McKean Street,,BAIRNSDALE,VIC,3875,Gippsland,Residential,32,,,Bairnsdale Regional Health Service,State Government,Outer Regional Australia,-37.8319287,147.6061691," $2,194,621 "
The Lakes Hostel,1 Lake Street,,EDENHOPE,VIC,3318,Grampians,Residential,22,,,Edenhope & District Memorial Hospital,State Government,Outer Regional Australia,-37.03509852,141.2955397," $1,128,147 "
Estia Health Bentleigh,34-36 Clairmont Avenue,,BENTLEIGH,VIC,3204,Southern Metro,Residential,45,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.921903,145.026874," $3,357,448 "
Willowbrae-Templestowe Hostel,81-85 Porter Street,,TEMPLESTOWE,VIC,3106,Eastern Metro,Residential,64,,,Menarock Aged Care Services (Templestowe) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.752192,145.133888," $3,685,634 "
Arcare Reservoir,2 Gremel Road,,RESERVOIR,VIC,3073,Northern Metro,Residential,70,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.72541292,145.0299489," $5,026,088 "
Royal Freemasons - Monash Gardens Hostel,355 Wellington Road,,MULGRAVE,VIC,3170,Eastern Metro,Residential,50,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.91906083,145.1654792," $3,160,201 "
Japara Elouera,6-11 Kooringa Place,,TORQUAY,VIC,3228,Barwon-South Western,Residential,75,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.32442835,144.3155788," $4,595,281 "
Allan W Lockwood Special Care Hostel,6 SCHURMANN Street,,NATIMUK,VIC,3409,Grampians,Residential,11,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.74525255,141.937601," $898,341 "
Cheltenham Manor,10-12 Bendigo Street,,CHELTENHAM,VIC,3192,Southern Metro,Residential,155,,,Cheltenham Manor Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.96425534,145.0594984," $6,819,554 "
Liscombe House,339 St Helena Road,,SAINT HELENA,VIC,3088,Northern Metro,Residential,81,,,The Old Colonists' Association of Victoria,Charitable,Major Cities of Australia,-37.689009,145.132578," $5,042,225 "
Lyrebird Village for the Aged,8 Neerim Street,,DROUIN,VIC,3818,Gippsland,Residential,115,,,Lyrebird Villages for the Aged Inc,Community Based,Inner Regional Australia,-38.13468609,145.8646764," $6,764,281 "
Hailey House Hostel,703 Norman Street,,BALLARAT NORTH,VIC,3350,Grampians,Residential,60,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.53649126,143.8578023," $4,242,192 "
Waranga Aged Care Hostel,14 High Street,,RUSHWORTH,VIC,3612,Loddon-Mallee,Residential,32,,,Goulburn Valley Health,State Government,Inner Regional Australia,-36.58714425,145.0164071," $1,385,620 "
Avoca Hostel,10 Templeton Street,,AVOCA,VIC,3467,Grampians,Residential,10,,,Maryborough District Health Service,State Government,Inner Regional Australia,-37.09241886,143.4685646," $775,039 "
Ballan Hostel,168 Inglis Street,,BALLAN,VIC,3342,Grampians,Residential,30,,,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,Inner Regional Australia,-37.5999532,144.2217651," $1,401,269 "
Coptic Hostel,18 St Kyrillos Place,,NARRE WARREN,VIC,3805,Southern Metro,Residential,30,,,Coptic Village Hostel Inc,Religious,Major Cities of Australia,-38.005033,145.287059," $2,127,906 "
Mercy Place Ave Maria,25 Graham Street,,SHEPPARTON,VIC,3630,Hume,Residential,91,,,Mercy Aged and Community Care Ltd,Charitable,Inner Regional Australia,-36.36169129,145.4056538," $6,721,240 "
Bolga Court Hostel,1 Lakeside Drive,,TALLANGATTA,VIC,3700,Hume,Residential,36,,,Tallangatta Health Service,State Government,Outer Regional Australia,-36.21282346,147.1818312," $1,822,185 "
James Thomas Court,117 Morgan Street,,SEBASTOPOL,VIC,3356,Grampians,Residential,34,,,Ballarat Health Services,State Government,Inner Regional Australia,-37.6048763,143.8357074," $2,199,116 "
Benetas Hazelwood House,59-91 Philip Parade,,CHURCHILL,VIC,3842,Gippsland,Residential,38,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.31868308,146.4238182," $2,728,426 "
R. M. Begg Kyneton Aged Care,27-35 Epping Street,,KYNETON,VIC,3444,Loddon-Mallee,Residential,90,,,R. M. Begg Kyneton Aged Care Inc,Community Based,Inner Regional Australia,-37.251729,144.461164," $4,644,350 "
Warrina Hostel,26 Piper Street,,YARRAWONGA,VIC,3730,Hume,Residential,28,,,Yarrawonga Health,State Government,Inner Regional Australia,-36.01087422,146.0057183," $1,253,484 "
Princes Court Homes Hostel,27 Princes Street,,MILDURA,VIC,3500,Loddon-Mallee,Residential,100,,,Princes Court Homes Inc,Community Based,Outer Regional Australia,-34.19224583,142.1489682," $6,177,580 "
Warramunda Village Hostel,Warramunda Drive,,KYABRAM,VIC,3620,Loddon-Mallee,Residential,61,,,Warramunda Village Inc,Community Based,Inner Regional Australia,-36.31692,145.041876," $3,724,860 "
Bindaree Retirement Centre,1 Highett Street,,MANSFIELD,VIC,3722,Hume,Residential,42,,,Mansfield District Hospital,State Government,Outer Regional Australia,-37.0495796,146.0881979," $2,663,178 "
Cooinda Village Inc,1-35 Kilfeera Road,,BENALLA,VIC,3672,Hume,Residential,82,,,Cooinda Village Inc,Community Based,Inner Regional Australia,-36.55644462,145.9976916," $4,984,290 "
Eventide Lutheran Homes,72 Ballarat Road,,HAMILTON,VIC,3300,Barwon-South Western,Residential,59,,,Lutheran Church of Australia Victorian District,Religious,Inner Regional Australia,-37.74404141,142.0407113," $3,230,751 "
Mercy Place Lynbrook,500 Evans Road,,LYNBROOK,VIC,3975,Southern Metro,Residential,96,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-38.064592,145.261666," $7,704,853 "
Numurkah Pioneers Memorial Lodge,13 Katamatite-Nathalia Road,,NUMURKAH,VIC,3636,Hume,Residential,36,,,Numurkah District Health Service,State Government,Inner Regional Australia,-36.09903753,145.4451363," $2,008,692 "
Johnson-Goodwin Memorial Homes,22 Camp Street,,DONALD,VIC,3480,Loddon-Mallee,Residential,33,,,Johnson-Goodwin Memorial Homes,Community Based,Outer Regional Australia,-36.37080039,142.9774862," $2,520,523 "
St John's Retirement Village Hostel,138 Williams Road,,WANGARATTA,VIC,3677,Hume,Residential,41,,,Respect Group Limited,Charitable,Inner Regional Australia,-36.34604148,146.2977312," $2,436,238 "
Twin Parks Aged Care Centre,33-45 Blake Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,93,,,Coburg Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.73216616,145.0369909," $5,612,302 "
Boort District Health Low Care,1 Kiniry Street,,BOORT,VIC,3537,Loddon-Mallee,Residential,18,,,Boort District Health,State Government,Outer Regional Australia,-36.11516886,143.7271956," $812,178 "
May Noonan Centre,1 Foley Street,,TERANG,VIC,3264,Barwon-South Western,Residential,40,,,Lyndoch Living Limited,Community Based,Inner Regional Australia,-38.24968576,142.918369," $2,788,785 "
Baptcare - Northaven Community,84-86 Shadforth Street,,KERANG,VIC,3579,Loddon-Mallee,Residential,56,,,Baptcare Ltd,Religious,Outer Regional Australia,-35.7261048,143.9157075," $4,279,062 "
Moyola Lodge Hostel,60 Hunter Street,,TATURA,VIC,3616,Hume,Residential,43,,,Moyola Aged Care Incorporated,Community Based,Inner Regional Australia,-36.438385,145.224315," $2,299,752 "
Lumeah Lodge Hostel,13 Hospital Street,,DAYLESFORD,VIC,3460,Grampians,Residential,12,,,Hepburn Health Service,State Government,Inner Regional Australia,-37.337496,144.145251," $827,643 "
St Vincent's Care Services Eltham - Willandra Lodge,43 Diamond Street,,ELTHAM,VIC,3095,Northern Metro,Residential,64,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-37.71218754,145.145762," $3,959,789 "
Sumner House,128 Fitzroy Street,,FITZROY,VIC,3065,Northern Metro,Residential,43,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.80439,144.976476," $2,988,651 "
Sambell Lodge,1 South Terrace,,CLIFTON HILL,VIC,3068,Northern Metro,Residential,43,,,Brotherhood of St Laurence,Religious,Major Cities of Australia,-37.79220967,144.9910309," $3,134,370 "
John Curtin Aged Care,6 Cushing Avenue,,CRESWICK,VIC,3363,Grampians,Residential,65,,,John Curtin Aged Care Inc,Community Based,Inner Regional Australia,-37.41924344,143.8930221," $4,128,189 "
Kellock Lodge,15 Bon Street,,ALEXANDRA,VIC,3714,Hume,Residential,50,,,Trustees of the Anglican Diocese of Wangaratta,Religious,Inner Regional Australia,-37.185569,145.711934," $2,524,675 "
Pyramid Hill Aged Care Home,15 Durham Ox Road,,PYRAMID HILL,VIC,3575,Loddon-Mallee,Residential,23,,,Respect Group Limited,Charitable,Outer Regional Australia,-36.056014,144.109283," $1,376,724 "
R M McHale Hostel,Purdey Street,,TONGALA,VIC,3621,Loddon-Mallee,Residential,42,,,Tongala & District Memorial Aged Care Service Inc,Community Based,Inner Regional Australia,-36.247725,144.95768," $1,435,610 "
Wintringham Hostel - Port Melbourne,79 Swallow Street,,PORT MELBOURNE,VIC,3207,Southern Metro,Residential,35,,,Wintringham,Charitable,Major Cities of Australia,-37.8378555,144.9325196," $2,848,455 "
Wintringham McLean Lodge Hostel,1-2 Little Princes Street,,FLEMINGTON,VIC,3031,Western Metro,Residential,21,,,Wintringham,Charitable,Major Cities of Australia,-37.783346,144.936124," $1,904,867 "
Rochester and District Hostel,1 Pascoe Street,,ROCHESTER,VIC,3561,Loddon-Mallee,Residential,30,,,Rochester & Elmore District Health Service,State Government,Inner Regional Australia,-36.365814,144.697936," $1,544,529 "
Edith Bendall Lodge,11 Park Street,,PASCOE VALE,VIC,3044,Northern Metro,Residential,60,,,Edith Bendall Lodge,Community Based,Major Cities of Australia,-37.72907781,144.9256249," $3,248,479 "
Villa Maria Catholic Homes St Bernadette's Aged Care Residence,17 Park Drive,,SUNSHINE NORTH,VIC,3020,Western Metro,Residential,96,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.75946801,144.8254531," $6,881,860 "
Lakeview Lodge Hostel,22 Church Street,,NAGAMBIE,VIC,3608,Hume,Residential,47,,,Nagambie HealthCare Incorporated,Community Based,Inner Regional Australia,-36.780884,145.14981," $2,414,263 "
Rainbow Bush Nursing Hospital Hostel,12 Sanders Street,,RAINBOW,VIC,3424,Grampians,Residential,10,,,West Wimmera Health Service,State Government,Remote Australia,-35.90364647,141.9949347," $879,279 "
Opal Gillin Park,62-76 Huntingfield Drive,,WARRNAMBOOL,VIC,3280,Barwon-South Western,Residential,46,,,DPG Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.386819,142.530909," $3,089,426 "
Estia Health Leopold,52-60 Ash Road,,LEOPOLD,VIC,3224,Barwon-South Western,Residential,75,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.19555908,144.4674709," $4,742,308 "
St Paul's Hostel for the Elderly,15-17 Strettle Street,,THORNBURY,VIC,3071,Northern Metro,Residential,60,,,Antonine Sisters Aged Care Services Ltd,Religious,Major Cities of Australia,-37.75409211,144.9832619," $3,555,467 "
Trentham Hostel,22-24 Victoria Street,,TRENTHAM,VIC,3458,Grampians,Residential,20,,,Hepburn Health Service,State Government,Inner Regional Australia,-37.38673635,144.3275985," $1,100,380 "
Skipton Hostel,4 Blake Street,,SKIPTON,VIC,3361,Barwon-South Western,Residential,9,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,-37.68462815,143.3666776," $423,896 "
Beaufort Hostel,1-3 Burton Street,,BEAUFORT,VIC,3373,Grampians,Residential,12,,,Beaufort & Skipton Health Service,State Government,Inner Regional Australia,-37.43166284,143.381952," $728,504 "
McLellan House Hostel,2 Robinson Street,,JACANA,VIC,3047,Northern Metro,Residential,32,,,Melbourne Health,State Government,Major Cities of Australia,-37.68581993,144.9126564," $1,248,616 "
BlueCross Clevedon Terrace,405 Upper Heidelberg Road,,HEIDELBERG,VIC,3084,Northern Metro,Residential,51,,,Third Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.757343,145.054151," $3,565,725 "
Vasey RSL Care Ivanhoe,61 Edwin Street,,IVANHOE,VIC,3079,Northern Metro,Residential,50,,,Vasey RSL Care Ltd,Community Based,Major Cities of Australia,-37.7522358,145.0503156," $2,672,582 "
Japara Vonlea Manor,1-9 Moran Place,,NORLANE,VIC,3214,Barwon-South Western,Residential,38,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.094394,144.345463," $2,974,420 "
Twin Parks Hostel,47 Blake Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,43,,,Twin Parks Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.732101,145.036395," $2,546,340 "
Ottrey Lodge,16 Campbell Road,,COBRAM,VIC,3644,Hume,Residential,48,,,Ottrey Homes - Cobram And District Retirement Village Inc,Community Based,Inner Regional Australia,-35.9197723,145.6600542," $2,883,676 "
The Ashley,17-21 Ashley Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,65,,,McKenzie Aged Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.7179495,145.0018975," $4,502,156 "
